COMPANY|Stock Date|Stock Open|Stock High|Stock Low|Stock Close|Stock Adj Close|Stock Volume
TSLA|2021-05-10 00:00:00|664.9|665.05|627.61|629.04|629.04|31392400
TSLA|2021-05-11 00:00:00|599.24|627.1|595.6|617.2|617.2|46503900
TSLA|2021-05-12 00:00:00|602.49|620.41|586.77|589.89|589.89|33823600
TSLA|2021-05-13 00:00:00|601.54|606.46|559.65|571.69|571.69|44184900
TSLA|2021-05-14 00:00:00|583.41|592.87|570.46|589.74|589.74|33370900
TSLA|2021-05-17 00:00:00|575.55|589.73|561.2|576.83|576.83|32390400
TSLA|2021-05-18 00:00:00|568.0|596.25|563.38|577.87|577.87|36830600
TSLA|2021-05-19 00:00:00|552.55|566.21|546.98|563.46|563.46|39578400
TSLA|2021-05-20 00:00:00|575.0|588.85|571.07|586.78|586.78|30821100
TSLA|2021-05-21 00:00:00|596.11|596.68|580.0|580.88|580.88|26030600
TSLA|2021-05-24 00:00:00|581.6|614.48|573.65|606.44|606.44|34558100
TSLA|2021-05-25 00:00:00|607.31|613.99|595.71|604.69|604.69|28005900
TSLA|2021-05-26 00:00:00|607.56|626.17|601.5|619.13|619.13|28639300
TSLA|2021-05-27 00:00:00|620.24|631.13|616.21|630.85|630.85|26370600
TSLA|2021-05-28 00:00:00|628.5|635.59|622.38|625.22|625.22|22737000
TSLA|2021-06-01 00:00:00|627.8|633.8|620.55|623.9|623.9|18084900
TSLA|2021-06-02 00:00:00|620.13|623.36|599.14|605.12|605.12|23302800
TSLA|2021-06-03 00:00:00|601.8|604.55|571.22|572.84|572.84|30111900
TSLA|2021-06-04 00:00:00|579.71|600.61|577.2|599.05|599.05|24036900
TSLA|2021-06-07 00:00:00|591.83|610.0|582.88|605.13|605.13|22543700
TSLA|2021-06-08 00:00:00|623.01|623.09|595.5|603.59|603.59|26053400
TSLA|2021-06-09 00:00:00|602.17|611.79|597.63|598.78|598.78|16584600
TSLA|2021-06-10 00:00:00|603.88|616.59|600.5|610.12|610.12|23919600
TSLA|2021-06-11 00:00:00|610.23|612.56|601.52|609.89|609.89|16205300
TSLA|2021-06-14 00:00:00|612.23|625.49|609.18|617.69|617.69|20424000
TSLA|2021-06-15 00:00:00|616.69|616.79|598.23|599.36|599.36|17764100
TSLA|2021-06-16 00:00:00|597.54|608.5|593.5|604.87|604.87|22144100
TSLA|2021-06-17 00:00:00|601.89|621.47|601.34|616.6|616.6|22701400
TSLA|2021-06-18 00:00:00|613.37|628.35|611.8|623.31|623.31|24560900
TSLA|2021-06-21 00:00:00|624.48|631.39|608.88|620.83|620.83|24812700
TSLA|2021-06-22 00:00:00|618.25|628.57|615.5|623.71|623.71|19158900
TSLA|2021-06-23 00:00:00|632.0|657.2|630.04|656.57|656.57|31099200
TSLA|2021-06-24 00:00:00|674.99|697.62|667.61|679.82|679.82|45982400
TSLA|2021-06-25 00:00:00|689.58|693.81|668.7|671.87|671.87|32496700
TSLA|2021-06-28 00:00:00|671.64|694.7|670.32|688.72|688.72|21628200
TSLA|2021-06-29 00:00:00|684.65|687.51|675.89|680.76|680.76|17381300
TSLA|2021-06-30 00:00:00|679.77|692.81|678.14|679.7|679.7|18924900
